course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,profit,year,month,clean_course_title
Hedge and Mutual Fund Careers: The Complete Guide,1,200,3255,340,102,0,8.5,651000,2016,6,Hedge Mutual Fund Careers Complete Guide
Algorithmic Trading In Forex: Create Your First Forex Robot!,1,185,7941,713,40,0,6.5,1469085,2014,8,Algorithmic Trading Forex Create Forex Robot
The Power Modeling Bootcamp: Advanced Excel in 10 Days,1,150,1680,158,76,0,5.5,252000,2016,11,Power Modeling Bootcamp Advanced Excel 10 Days
Options Trading Basics (3-Course Bundle),1,180,10100,985,45,1,11.0,1818000,2013,2,Options Trading Basics 3Course Bundle
How to Win 97% of Your Options Trades,1,125,5050,461,26,0,1.5,631250,2015,2,Win 97 Options Trades
How I Make Consistent Returns Trading Options,1,200,2310,162,26,0,3.5,462000,2016,10,Consistent Returns Trading Options
"Forex Strategies: Kelly Criterion, Larry Williams and more!",1,185,5528,506,32,0,3.0,1022680,2015,2,Forex Strategies Kelly Criterion Larry Williams more
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",1,125,6451,237,28,0,5.0,806375,2014,4,Elite Trend Trader Learn Trade Stocks Options  Forex
Options Trading Introduction: Day Trade Stock Options,1,95,12394,218,30,1,2.5,1177430,2015,2,Options Trading Introduction Day Trade Stock Options
The Almost Perfect Options Trading Strategy System - Unique,1,200,1793,18,15,0,1.0,358600,2017,3,Perfect Options Trading Strategy System  Unique
Forex Trading -  Learn to Trade Forex Like the Banks,1,20,3223,240,23,0,1.0,64460,2016,3,Forex Trading  Learn Trade Forex Like Banks
Learn to Trade for Profit:Trading with Japanese Candlesticks,1,60,16385,273,45,1,3.0,983100,2014,9,Learn Trade ProfitTrading Japanese Candlesticks
The Most Powerful Options Spread Trading Front Ratio Spread,1,200,1487,16,18,0,2.0,297400,2017,3,Powerful Options Spread Trading Ratio Spread
What Finance Job is for You? Explanation of 14 Finance Roles,1,200,2951,232,60,0,4.0,590200,2016,5,Finance Job You Explanation 14 Finance Roles
The Blueprint for Successful Stock Trading,1,120,2697,331,15,0,1.0,323640,2015,8,Blueprint Successful Stock Trading
Trading for Beginners - Intermediate Level,1,150,3979,40,39,1,5.0,596850,2016,11,Trading Beginners  Intermediate Level
Start Trading Stocks Using Technical Analysis!,1,25,3190,244,45,0,4.0,79750,2016,2,Start Trading Stocks Technical Analysis
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,1,200,1406,71,54,3,1.5,281200,2017,1,Learn Set Incubator Hedge Fund  StepbyStep
VPS for Forex Trading - Protect Your Forex Robots,1,160,4252,225,24,0,2.0,680320,2014,9,VPS Forex Trading  Protect Forex Robots
Introduction to Accounting: The Language of Business,1,20,11958,370,134,1,11.5,239160,2014,10,Introduction Accounting Language Business
Basic Excel for Basic Bookkeeping and Accounting,1,95,7743,340,33,1,1.5,735585,2015,9,Basic Excel Basic Bookkeeping Accounting
"Using 'The Greeks To Understand Options""",1,50,2134,55,5,0,1.0,106700,2016,7,The Greeks Understand Options
Trading Options For Consistent Returns: Calendar Spreads,1,200,1214,69,20,0,1.5,242800,2016,10,Trading Options Consistent Returns Calendar Spreads
How to Create Your Personal Budget,1,20,3870,53,10,0,1.0,77400,2016,3,Create Personal Budget
The Complete Value Investing Course: A Proven Approach,1,200,2146,212,49,0,4.5,429200,2015,6,Complete Value Investing Course Proven Approach
FOREX Trading with Price Action,1,195,484,57,19,1,1.0,94380,2017,3,FOREX Trading Price Action
